date,nearHoliday
2012-01-01,-1
2012-01-02,0
2012-01-03,1
2012-01-04,2
2012-01-05,3
2012-01-06,4
2012-01-07,5
2012-01-08,6
2012-01-09,-7
2012-01-10,-6
2012-01-11,-5
2012-01-12,-4
2012-01-13,-3
2012-01-14,-2
2012-01-15,-1
2012-01-16,0
2012-01-17,1
2012-01-18,2
2012-01-19,3
2012-01-20,4
2012-01-21,5
2012-01-22,6
2012-01-23,7
2012-01-24,8
2012-01-25,9
2012-01-26,10
2012-01-27,11
2012-01-28,12
2012-01-29,13
2012-01-30,14
2012-01-31,15
2012-02-01,16
2012-02-02,17
2012-02-03,-17
2012-02-04,-16
2012-02-05,-15
2012-02-06,-14
2012-02-07,-13
2012-02-08,-12
2012-02-09,-11
2012-02-10,-10
2012-02-11,-9
2012-02-12,-8
2012-02-13,-7
2012-02-14,-6
2012-02-15,-5
2012-02-16,-4
2012-02-17,-3
2012-02-18,-2
2012-02-19,-1
2012-02-20,0
2012-02-21,1
2012-02-22,2
2012-02-23,3
2012-02-24,4
2012-02-25,5
2012-02-26,6
2012-02-27,7
2012-02-28,8
2012-02-29,9
2012-03-01,10
2012-03-02,11
2012-03-03,12
2012-03-04,13
2012-03-05,14
2012-03-06,15
2012-03-07,16
2012-03-08,17
2012-03-09,18
2012-03-10,19
2012-03-11,20
2012-03-12,21
2012-03-13,22
2012-03-14,23
2012-03-15,24
2012-03-16,25
2012-03-17,26
2012-03-18,27
2012-03-19,28
2012-03-20,29
2012-03-21,30
2012-03-22,31
2012-03-23,32
2012-03-24,33
2012-03-25,34
2012-03-26,35
2012-03-27,36
2012-03-28,37
2012-03-29,38
2012-03-30,39
2012-03-31,40
2012-04-01,41
2012-04-02,42
2012-04-03,43
2012-04-04,44
2012-04-05,45
2012-04-06,46
2012-04-07,47
2012-04-08,48
2012-04-09,-49
2012-04-10,-48
2012-04-11,-47
2012-04-12,-46
2012-04-13,-45
2012-04-14,-44
2012-04-15,-43
2012-04-16,-42
2012-04-17,-41
2012-04-18,-40
2012-04-19,-39
2012-04-20,-38
2012-04-21,-37
2012-04-22,-36
2012-04-23,-35
2012-04-24,-34
2012-04-25,-33
2012-04-26,-32
2012-04-27,-31
2012-04-28,-30
2012-04-29,-29
2012-04-30,-28
2012-05-01,-27
2012-05-02,-26
2012-05-03,-25
2012-05-04,-24
2012-05-05,-23
2012-05-06,-22
2012-05-07,-21
2012-05-08,-20
2012-05-09,-19
2012-05-10,-18
2012-05-11,-17
2012-05-12,-16
2012-05-13,-15
2012-05-14,-14
2012-05-15,-13
2012-05-16,-12
2012-05-17,-11
2012-05-18,-10
2012-05-19,-9
2012-05-20,-8
2012-05-21,-7
2012-05-22,-6
2012-05-23,-5
2012-05-24,-4
2012-05-25,-3
2012-05-26,-2
2012-05-27,-1
2012-05-28,0
2012-05-29,1
2012-05-30,2
2012-05-31,3
2012-06-01,4
2012-06-02,5
2012-06-03,6
2012-06-04,7
2012-06-05,8
2012-06-06,9
2012-06-07,10
2012-06-08,11
2012-06-09,12
2012-06-10,13
2012-06-11,14
2012-06-12,15
2012-06-13,16
2012-06-14,17
2012-06-15,18
2012-06-16,-18
2012-06-17,-17
2012-06-18,-16
2012-06-19,-15
2012-06-20,-14
2012-06-21,-13
2012-06-22,-12
2012-06-23,-11
2012-06-24,-10
2012-06-25,-9
2012-06-26,-8
2012-06-27,-7
2012-06-28,-6
2012-06-29,-5
2012-06-30,-4
2012-07-01,-3
2012-07-02,-2
2012-07-03,-1
2012-07-04,0
2012-07-05,1
2012-07-06,2
2012-07-07,3
2012-07-08,4
2012-07-09,5
2012-07-10,6
2012-07-11,7
2012-07-12,8
2012-07-13,9
2012-07-14,10
2012-07-15,11
2012-07-16,12
2012-07-17,13
2012-07-18,14
2012-07-19,15
2012-07-20,16
2012-07-21,17
2012-07-22,18
2012-07-23,19
2012-07-24,20
2012-07-25,21
2012-07-26,22
2012-07-27,23
2012-07-28,24
2012-07-29,25
2012-07-30,26
2012-07-31,27
2012-08-01,28
2012-08-02,29
2012-08-03,30
2012-08-04,-30
2012-08-05,-29
2012-08-06,-28
2012-08-07,-27
2012-08-08,-26
2012-08-09,-25
2012-08-10,-24
2012-08-11,-23
2012-08-12,-22
2012-08-13,-21
2012-08-14,-20
2012-08-15,-19
2012-08-16,-18
2012-08-17,-17
2012-08-18,-16
2012-08-19,-15
2012-08-20,-14
2012-08-21,-13
2012-08-22,-12
2012-08-23,-11
2012-08-24,-10
2012-08-25,-9
2012-08-26,-8
2012-08-27,-7
2012-08-28,-6
2012-08-29,-5
2012-08-30,-4
2012-08-31,-3
2012-09-01,-2
2012-09-02,-1
2012-09-03,0
2012-09-04,1
2012-09-05,2
2012-09-06,3
2012-09-07,4
2012-09-08,5
2012-09-09,6
2012-09-10,7
2012-09-11,8
2012-09-12,9
2012-09-13,10
2012-09-14,11
2012-09-15,12
2012-09-16,13
2012-09-17,14
2012-09-18,15
2012-09-19,16
2012-09-20,17
2012-09-21,-17
2012-09-22,-16
2012-09-23,-15
2012-09-24,-14
2012-09-25,-13
2012-09-26,-12
2012-09-27,-11
2012-09-28,-10
2012-09-29,-9
2012-09-30,-8
2012-10-01,-7
2012-10-02,-6
2012-10-03,-5
2012-10-04,-4
2012-10-05,-3
2012-10-06,-2
2012-10-07,-1
2012-10-08,0
2012-10-09,1
2012-10-10,2
2012-10-11,3
2012-10-12,4
2012-10-13,5
2012-10-14,6
2012-10-15,7
2012-10-16,8
2012-10-17,9
2012-10-18,10
2012-10-19,11
2012-10-20,12
2012-10-21,13
2012-10-22,14
2012-10-23,15
2012-10-24,16
2012-10-25,17
2012-10-26,-17
2012-10-27,-16
2012-10-28,-15
2012-10-29,-14
2012-10-30,-13
2012-10-31,-12
2012-11-01,-11
2012-11-02,-10
2012-11-03,-9
2012-11-04,-8
2012-11-05,-7
2012-11-06,-6
2012-11-07,-5
2012-11-08,-4
2012-11-09,-3
2012-11-10,-2
2012-11-11,-1
2012-11-12,0
2012-11-13,1
2012-11-14,2
2012-11-15,3
2012-11-16,4
2012-11-17,-5
2012-11-18,-4
2012-11-19,-3
2012-11-20,-2
2012-11-21,-1
2012-11-22,0
2012-11-23,1
2012-11-24,2
2012-11-25,3
2012-11-26,4
2012-11-27,5
2012-11-28,6
2012-11-29,7
2012-11-30,8
2012-12-01,9
2012-12-02,10
2012-12-03,11
2012-12-04,12
2012-12-05,13
2012-12-06,14
2012-12-07,15
2012-12-08,16
2012-12-09,-16
2012-12-10,-15
2012-12-11,-14
2012-12-12,-13
2012-12-13,-12
2012-12-14,-11
2012-12-15,-10
2012-12-16,-9
2012-12-17,-8
2012-12-18,-7
2012-12-19,-6
2012-12-20,-5
2012-12-21,-4
2012-12-22,-3
2012-12-23,-2
2012-12-24,-1
2012-12-25,0
2012-12-26,1
2012-12-27,2
2012-12-28,3
2012-12-29,-3
2012-12-30,-2
2012-12-31,-1
2013-01-01,0
2013-01-02,1
2013-01-03,2
2013-01-04,3
2013-01-05,4
2013-01-06,5
2013-01-07,6
2013-01-08,7
2013-01-09,8
2013-01-10,9
2013-01-11,-10
2013-01-12,-9
2013-01-13,-8
2013-01-14,-7
2013-01-15,-6
2013-01-16,-5
2013-01-17,-4
2013-01-18,-3
2013-01-19,-2
2013-01-20,-1
2013-01-21,0
2013-01-22,1
2013-01-23,2
2013-01-24,3
2013-01-25,4
2013-01-26,5
2013-01-27,6
2013-01-28,7
2013-01-29,8
2013-01-30,9
2013-01-31,10
2013-02-01,11
2013-02-02,12
2013-02-03,13
2013-02-04,-14
2013-02-05,-13
2013-02-06,-12
2013-02-07,-11
2013-02-08,-10
2013-02-09,-9
2013-02-10,-8
2013-02-11,-7
2013-02-12,-6
2013-02-13,-5
2013-02-14,-4
2013-02-15,-3
2013-02-16,-2
2013-02-17,-1
2013-02-18,0
2013-02-19,1
2013-02-20,2
2013-02-21,3
2013-02-22,4
2013-02-23,5
2013-02-24,6
2013-02-25,7
2013-02-26,8
2013-02-27,9
2013-02-28,10
2013-03-01,11
2013-03-02,12
2013-03-03,13
2013-03-04,14
2013-03-05,15
2013-03-06,16
2013-03-07,17
2013-03-08,18
2013-03-09,19
2013-03-10,20
2013-03-11,21
2013-03-12,22
2013-03-13,23
2013-03-14,24
2013-03-15,25
2013-03-16,26
2013-03-17,27
2013-03-18,28
2013-03-19,29
2013-03-20,30
2013-03-21,31
2013-03-22,32
2013-03-23,33
2013-03-24,34
2013-03-25,35
2013-03-26,36
2013-03-27,37
2013-03-28,38
2013-03-29,39
2013-03-30,40
2013-03-31,41
2013-04-01,42
2013-04-02,43
2013-04-03,44
2013-04-04,45
2013-04-05,46
2013-04-06,47
2013-04-07,48
2013-04-08,-49
2013-04-09,-48
2013-04-10,-47
2013-04-11,-46
2013-04-12,-45
2013-04-13,-44
2013-04-14,-43
2013-04-15,-42
2013-04-16,-41
2013-04-17,-40
2013-04-18,-39
2013-04-19,-38
2013-04-20,-37
2013-04-21,-36
2013-04-22,-35
2013-04-23,-34
2013-04-24,-33
2013-04-25,-32
2013-04-26,-31
2013-04-27,-30
2013-04-28,-29
2013-04-29,-28
2013-04-30,-27
2013-05-01,-26
2013-05-02,-25
2013-05-03,-24
2013-05-04,-23
2013-05-05,-22
2013-05-06,-21
2013-05-07,-20
2013-05-08,-19
2013-05-09,-18
2013-05-10,-17
2013-05-11,-16
2013-05-12,-15
2013-05-13,-14
2013-05-14,-13
2013-05-15,-12
2013-05-16,-11
2013-05-17,-10
2013-05-18,-9
2013-05-19,-8
2013-05-20,-7
2013-05-21,-6
2013-05-22,-5
2013-05-23,-4
2013-05-24,-3
2013-05-25,-2
2013-05-26,-1
2013-05-27,0
2013-05-28,1
2013-05-29,2
2013-05-30,3
2013-05-31,4
2013-06-01,5
2013-06-02,6
2013-06-03,7
2013-06-04,8
2013-06-05,9
2013-06-06,10
2013-06-07,11
2013-06-08,12
2013-06-09,13
2013-06-10,14
2013-06-11,15
2013-06-12,16
2013-06-13,17
2013-06-14,18
2013-06-15,-19
2013-06-16,-18
2013-06-17,-17
2013-06-18,-16
2013-06-19,-15
2013-06-20,-14
2013-06-21,-13
2013-06-22,-12
2013-06-23,-11
2013-06-24,-10
2013-06-25,-9
2013-06-26,-8
2013-06-27,-7
2013-06-28,-6
2013-06-29,-5
2013-06-30,-4
2013-07-01,-3
2013-07-02,-2
2013-07-03,-1
2013-07-04,0
2013-07-05,1
2013-07-06,2
2013-07-07,3
2013-07-08,4
2013-07-09,5
2013-07-10,6
2013-07-11,7
2013-07-12,8
2013-07-13,9
2013-07-14,10
2013-07-15,11
2013-07-16,12
2013-07-17,13
2013-07-18,14
2013-07-19,15
2013-07-20,16
2013-07-21,17
2013-07-22,18
2013-07-23,19
2013-07-24,20
2013-07-25,21
2013-07-26,22
2013-07-27,23
2013-07-28,24
2013-07-29,25
2013-07-30,26
2013-07-31,27
2013-08-01,28
2013-08-02,29
2013-08-03,-30
2013-08-04,-29
2013-08-05,-28
2013-08-06,-27
2013-08-07,-26
2013-08-08,-25
2013-08-09,-24
2013-08-10,-23
2013-08-11,-22
2013-08-12,-21
2013-08-13,-20
2013-08-14,-19
2013-08-15,-18
2013-08-16,-17
2013-08-17,-16
2013-08-18,-15
2013-08-19,-14
2013-08-20,-13
2013-08-21,-12
2013-08-22,-11
2013-08-23,-10
2013-08-24,-9
2013-08-25,-8
2013-08-26,-7
2013-08-27,-6
2013-08-28,-5
2013-08-29,-4
2013-08-30,-3
2013-08-31,-2
2013-09-01,-1
2013-09-02,0
2013-09-03,1
2013-09-04,2
2013-09-05,3
2013-09-06,4
2013-09-07,5
2013-09-08,6
2013-09-09,7
2013-09-10,8
2013-09-11,9
2013-09-12,10
2013-09-13,11
2013-09-14,12
2013-09-15,13
2013-09-16,14
2013-09-17,15
2013-09-18,16
2013-09-19,17
2013-09-20,18
2013-09-21,19
2013-09-22,20
2013-09-23,-21
2013-09-24,-20
2013-09-25,-19
2013-09-26,-18
2013-09-27,-17
2013-09-28,-16
2013-09-29,-15
2013-09-30,-14
2013-10-01,-13
2013-10-02,-12
2013-10-03,-11
2013-10-04,-10
2013-10-05,-9
2013-10-06,-8
2013-10-07,-7
2013-10-08,-6
2013-10-09,-5
2013-10-10,-4
2013-10-11,-3
2013-10-12,-2
2013-10-13,-1
2013-10-14,0
2013-10-15,1
2013-10-16,2
2013-10-17,3
2013-10-18,4
2013-10-19,5
2013-10-20,6
2013-10-21,7
2013-10-22,8
2013-10-23,9
2013-10-24,10
2013-10-25,11
2013-10-26,12
2013-10-27,13
2013-10-28,-14
2013-10-29,-13
2013-10-30,-12
2013-10-31,-11
2013-11-01,-10
2013-11-02,-9
2013-11-03,-8
2013-11-04,-7
2013-11-05,-6
2013-11-06,-5
2013-11-07,-4
2013-11-08,-3
2013-11-09,-2
2013-11-10,-1
2013-11-11,0
2013-11-12,1
2013-11-13,2
2013-11-14,3
2013-11-15,4
2013-11-16,5
2013-11-17,6
2013-11-18,7
2013-11-19,8
2013-11-20,-8
2013-11-21,-7
2013-11-22,-6
2013-11-23,-5
2013-11-24,-4
2013-11-25,-3
2013-11-26,-2
2013-11-27,-1
2013-11-28,0
2013-11-29,1
2013-11-30,2
2013-12-01,3
2013-12-02,4
2013-12-03,5
2013-12-04,6
2013-12-05,7
2013-12-06,8
2013-12-07,9
2013-12-08,10
2013-12-09,11
2013-12-10,12
2013-12-11,13
2013-12-12,-13
2013-12-13,-12
2013-12-14,-11
2013-12-15,-10
2013-12-16,-9
2013-12-17,-8
2013-12-18,-7
2013-12-19,-6
2013-12-20,-5
2013-12-21,-4
2013-12-22,-3
2013-12-23,-2
2013-12-24,-1
2013-12-25,0
2013-12-26,1
2013-12-27,2
2013-12-28,3
2013-12-29,-3
2013-12-30,-2
2013-12-31,-1
2014-01-01,0
2014-01-02,1
2014-01-03,2
2014-01-04,3
2014-01-05,4
2014-01-06,5
2014-01-07,6
2014-01-08,7
2014-01-09,8
2014-01-10,9
2014-01-11,-9
2014-01-12,-8
2014-01-13,-7
2014-01-14,-6
2014-01-15,-5
2014-01-16,-4
2014-01-17,-3
2014-01-18,-2
2014-01-19,-1
2014-01-20,0
2014-01-21,1
2014-01-22,2
2014-01-23,3
2014-01-24,4
2014-01-25,5
2014-01-26,6
2014-01-27,7
2014-01-28,8
2014-01-29,9
2014-01-30,10
2014-01-31,11
2014-02-01,12
2014-02-02,13
2014-02-03,-14
2014-02-04,-13
2014-02-05,-12
2014-02-06,-11
2014-02-07,-10
2014-02-08,-9
2014-02-09,-8
2014-02-10,-7
2014-02-11,-6
2014-02-12,-5
2014-02-13,-4
2014-02-14,-3
2014-02-15,-2
2014-02-16,-1
2014-02-17,0
2014-02-18,1
2014-02-19,2
2014-02-20,3
2014-02-21,4
2014-02-22,5
2014-02-23,6
2014-02-24,7
2014-02-25,8
2014-02-26,9
2014-02-27,10
2014-02-28,11
2014-03-01,12
2014-03-02,13
2014-03-03,14
2014-03-04,15
2014-03-05,16
2014-03-06,17
2014-03-07,18
2014-03-08,19
2014-03-09,20
2014-03-10,21
2014-03-11,22
2014-03-12,23
2014-03-13,24
2014-03-14,25
2014-03-15,26
2014-03-16,27
2014-03-17,28
2014-03-18,29
