city,state,lat,lon
ACKLEY,IA,42.55553400000001,-93.0529775
ADAIR,IA,41.50043,-94.6433504
ADEL,IA,41.6144325,-94.017453
AFTON,IA,41.0284183,-94.1975786
AKRON,IA,42.8288818,-96.5594773
ALBIA,IA,41.0300078,-92.811307
ALDEN,IA,42.52025709999999,-93.3760389
ALGONA,IA,43.0699663,-94.233019
ALLISON,IA,42.7535847,-92.7952244
ALTA,IA,42.6749812,-95.30416559999999
ALTA VISTA,IA,43.1985819,-92.4171216
ALTON,IA,42.9874869,-96.01057349999999
ALTOONA,IA,41.6435514,-93.47508359999999
ALVORD,IA,43.3420659,-96.3022407
AMES,IA,42.0307812,-93.63191309999999
ANAMOSA,IA,42.1083371,-91.28515940000001
ANITA,IA,41.4438761,-94.764146
ANKENY,IA,41.7317884,-93.6001278
ANTHON,IA,42.38832319999999,-95.8666772
ARLINGTON,IA,42.7491501,-91.6712663
ARMSTRONG,IA,43.3960697,-94.4783082
ARNOLDS PARK,IA,43.3727408,-95.1238841
ATLANTIC,IA,41.4036007,-95.0138776
AUDUBON,IA,41.7180421,-94.93248679999999
AURELIA,IA,42.71276,-95.4366701
AVOCA,IA,41.4766571,-95.33805489999999
BALDWIN,IA,42.0741832,-90.8415301
BANCROFT,IA,43.29273860000001,-94.2180192
BAXTER,IA,41.8260998,-93.1515905
BEDFORD,IA,40.666932,-94.721358
BELLE PLAINE,IA,41.8955529,-92.27574039999999
BELLEVUE,IA,42.25889360000001,-90.4257531
BELMOND,IA,42.84608,-93.61409909999999
BETTENDORF,IA,41.56084999999999,-90.48344
BEVINGTON,IA,41.3605472,-93.7907776
BLOOMFIELD,IA,40.75168840000001,-92.41490739999999
BLUE GRASS,IA,41.5089194,-90.7659767
BONDURANT,IA,41.7019329,-93.4607681
BOONE,IA,42.0597047,-93.8802273
BRITT,IA,43.0977399,-93.8018875
BROOKLYN,IA,41.7315717,-92.4453638
BUFFALO,IA,41.4555873,-90.72097459999999
BUFFALO CENTER,IA,43.3857909,-93.9466193
BURLINGTON,IA,40.8076529,-91.1128901
BUSSEY,IA,41.2066696,-92.8840881
CAMANCHE,IA,41.7853085,-90.2529064
CAMBRIDGE,IA,41.8983187,-93.5291019
CARLISLE,IA,41.4986013,-93.4835466
CARROLL,IA,42.0655986,-94.86727929999999
CARTER LAKE,IA,41.29055340000001,-95.9180689
CASCADE,IA,42.2986159,-91.01486179999999
CASEY,IA,41.5047095,-94.51830369999999
CEDAR FALLS,IA,42.5348993,-92.4453161
CEDAR RAPIDS,IA,41.9778795,-91.6656232
CENTER POINT,IA,42.1908265,-91.78517719999999
CENTERVILLE,IA,40.7290565,-92.8738196
CENTRAL CITY,IA,42.2038829,-91.5240561
CHARITON,IA,41.0199996,-93.31409850000001
CHARLES CITY,IA,43.0663612,-92.6724112
CHEROKEE,IA,42.7496413,-95.55154309999999
CHESTER,IA,43.49107679999999,-92.360449
CLARINDA,IA,40.7419352,-95.038313
CLARION,IA,42.7316387,-93.732992
CLARKSVILLE,IA,42.7847,-92.6676907
CLEAR LAKE,IA,43.1435564,-93.3788108
CLINTON,IA,41.8444735,-90.1887379
CLIVE,IA,41.6060873,-93.77235999999999
COLESBURG,IA,42.6394355,-91.2020781
COLFAX,IA,41.67707619999999,-93.2451249
COLO,IA,42.0177653,-93.3152072
COLUMBUS JUNCTION,IA,41.2786364,-91.3598775
CONRAD,IA,42.2247077,-92.8746455
COON RAPIDS,IA,41.8708192,-94.6774786
CORALVILLE,IA,41.6822756,-91.5960643
CORNING,IA,40.9869306,-94.73358429999999
CORWITH,IA,42.9927444,-93.9574516
CORYDON,IA,40.7569499,-93.3188229
COUNCIL BLUFFS,IA,41.2619444,-95.8608333
CRESCENT,IA,41.364996,-95.85806679999999
CRESCO,IA,43.3813568,-92.1140547
CRESTON,IA,41.0586002,-94.3613474
CUMMING,IA,41.4833235,-93.7624442
DAKOTA CITY,IA,42.7221935,-94.1971836
DANVILLE,IA,40.86434029999999,-91.3146139
DAVENPORT,IA,41.5236437,-90.5776367
DAYTON,IA,42.2613645,-94.06856719999999
DECORAH,IA,43.30330559999999,-91.7857092
DELAWARE,IA,42.4752682,-91.34542139999999
DELHI,IA,42.4297143,-91.3309789
DELMAR,IA,42.0022453,-90.6070804
DENISON,IA,42.024988,-95.3588867
DENVER,IA,42.6713718,-92.3374045
DES MOINES,IA,41.6005448,-93.6091064
DE SOTO,IA,41.5315745,-94.0077785
DE WITT,IA,41.8239952,-90.53896619999999
DONNELLSON,IA,40.6428152,-91.5646028
DOWS,IA,42.656564,-93.50105579999999
DUBUQUE,IA,42.5005583,-90.66457179999999
DUMONT,IA,42.748585,-92.9724184
DUNLAP,IA,41.8543292,-95.60196619999999
DURANT,IA,41.5997498,-90.9107037
DYERSVILLE,IA,42.4836415,-91.1140899
DYSART,IA,42.171659,-92.3062978
EAGLE GROVE,IA,42.6641396,-93.9044473
EARLHAM,IA,41.4915674,-94.12298340000001
EARLY,IA,42.4613706,-95.1519373
EDDYVILLE,IA,41.1605646,-92.6313031
EDGEWOOD,IA,42.6444313,-91.4012515
ELDON,IA,40.9186301,-92.22295849999999
ELDORA,IA,42.3680382,-93.10575759999999
ELDRIDGE,IA,41.65808639999999,-90.5845822
ELKADER,IA,42.8538739,-91.4054159
ELLSWORTH,IA,42.3124934,-93.5787757
ELMA,IA,43.2466362,-92.4360102
ELY,IA,41.8736182,-91.58517499999999
EMMETSBURG,IA,43.1127427,-94.68303569999999
ESTHERVILLE,IA,43.4013478,-94.8391532
EVANSDALE,IA,42.4691543,-92.281017
EVERLY,IA,43.16163780000001,-95.32805719999999
EXIRA,IA,41.591156,-94.8763141
FAIRBANK,IA,42.6391512,-92.0471199
FAIRFAX,IA,41.9194471,-91.7810132
FAIRFIELD,IA,41.00761139999999,-91.9636914
FARLEY,IA,42.4444448,-91.00513389999999
FARMINGTON,IA,40.6403124,-91.7429429
FAYETTE,IA,42.84192549999999,-91.8021071
FLOYD,IA,43.1277502,-92.7363031
FONDA,IA,42.5813666,-94.84609569999999
FONTANELLE,IA,41.2897097,-94.5616359
FOREST CITY,IA,43.2624685,-93.6371937
FORT ATKINSON,IA,43.1433068,-91.9326637
FORT DODGE,IA,42.4974694,-94.16801579999999
FORT MADISON,IA,40.6297634,-91.31453499999999
FREDERICKSBURG,IA,42.9652547,-92.19961959999999
GARNAVILLO,IA,42.8685981,-91.2359644
GARNER,IA,43.1023343,-93.6020858
GEORGE,IA,43.34386240000001,-96.0022431
GILBERTVILLE,IA,42.4161001,-92.2149046
GILMORE CITY,IA,42.7294176,-94.4477507
GLADBROOK,IA,42.1877647,-92.715199
GLENWOOD,IA,41.0469437,-95.7425056
GLIDDEN,IA,42.0569297,-94.72887000000001
GOLDFIELD,IA,42.7349711,-93.9149462
GOWRIE,IA,42.2806289,-94.2907762
GRAETTINGER,IA,43.237733,-94.751303
GRAND JUNCTION,IA,42.0313859,-94.2371186
GRAND MOUND,IA,41.8247927,-90.6476151
GRANGER,IA,41.7610984,-93.8243923
GREENE,IA,42.8958066,-92.80241579999999
GREENFIELD,IA,41.3052657,-94.4613543
GRIMES,IA,41.6883646,-93.7925199
GRINNELL,IA,41.74340919999999,-92.7232456
GRISWOLD,IA,41.234991,-95.1374929
GRUNDY CENTER,IA,42.3616501,-92.7685327
GUTHRIE CENTER,IA,41.6772087,-94.50330439999999
GUTTENBERG,IA,42.7899897,-91.1029068
HAMBURG,IA,40.6044458,-95.65777109999999
HAMPTON,IA,42.7425009,-93.21034019999999
HARLAN,IA,41.653044,-95.32555409999999
HARPERS FERRY,IA,43.2005358,-91.1531852
HARTLEY,IA,43.1802719,-95.4770511
HAWARDEN,IA,42.9963772,-96.4891976
HAZLETON,IA,42.6174483,-91.9056039
HIAWATHA,IA,42.0491958,-91.6815252
HOLSTEIN,IA,42.4891531,-95.545003
HOLY CROSS,IA,42.6005516,-90.9956854
HOSPERS,IA,43.0719637,-95.90470769999999
HUBBARD,IA,42.3055396,-93.30020549999999
HUDSON,IA,42.406653,-92.45546709999999
HUMBOLDT,IA,42.7208047,-94.2152402
HUMESTON,IA,40.858892,-93.4974371
HUXLEY,IA,41.89526499999999,-93.60077319999999
IDA GROVE,IA,42.3462987,-95.47162349999999
INDEPENDENCE,IA,42.4685978,-91.8893386
INDIANOLA,IA,41.3580484,-93.5574376
INWOOD,IA,43.3072022,-96.4319799
IOWA CITY,IA,41.6611277,-91.5301683
IOWA FALLS,IA,42.51988679999999,-93.26457409999999
IRETON,IA,42.97470999999999,-96.3183585
JEFFERSON,IA,42.0172457,-94.3774232
JESUP,IA,42.47554299999999,-92.06378839999999
JEWELL JUNCTION,IA,42.306818,-93.6400274
JOHNSTON,IA,41.6709834,-93.7130493
KELLOGG,IA,41.7180533,-92.9077629
KEOKUK,IA,40.4044731,-91.3963966
KEOSAUQUA,IA,40.7303057,-91.96239489999999
KEOTA,IA,41.3639015,-91.9537859
KINGSLEY,IA,42.588324,-95.9675165
KNOXVILLE,IA,41.320343,-93.09966999999999
LAKE CITY,IA,42.2674828,-94.7338704
LAKE MILLS,IA,43.419329,-93.5325269
LAKE PARK,IA,43.4532977,-95.32250040000001
LAKE VIEW,IA,42.3116499,-95.05332399999999
LAMONI,IA,40.622777,-93.9341158
LANSING,IA,43.3609053,-91.218768
LA PORTE CITY,IA,42.3149911,-92.1921275
LARCHWOOD,IA,43.4535861,-96.43420499999999
LATIMER,IA,42.7633056,-93.3682594
LAURENS,IA,42.8466398,-94.85192959999999
LAWLER,IA,43.0695607,-92.1557563
LE CLAIRE,IA,41.5975061,-90.3462215
LE GRAND,IA,42.0069336,-92.77547609999999
LE MARS,IA,42.79415669999999,-96.1655778
LENOX,IA,40.8816547,-94.5619095
LEON,IA,40.739724,-93.7477217
LISBON,IA,41.9211198,-91.3854466
LOGAN,IA,41.6430472,-95.7891614
LOHRVILLE,IA,42.2702588,-94.5485865
LOST NATION,IA,41.9639095,-90.8176431
LOVILIA,IA,41.1358371,-92.9040881
MCGREGOR,IA,43.0246813,-91.1812468
MADRID,IA,41.8779511,-93.81566889999999
MALVERN,IA,41.00629199999999,-95.58514559999999
MANCHESTER,IA,42.4857853,-91.4579698
MANLY,IA,43.2907924,-93.2032593
MANNING,IA,41.9091382,-95.0651328
MANSON,IA,42.5291439,-94.5341421
MAPLETON,IA,42.1658227,-95.7930621
MAQUOKETA,IA,42.0689088,-90.6656914
MARCUS,IA,42.8272084,-95.8077912
MARENGO,IA,41.7927817,-92.0696253
MARION,IA,42.033279,-91.5968958
MARSHALLTOWN,IA,42.0494674,-92.90803749999999
MARTENSDALE,IA,41.3730474,-93.7357761
MASON CITY,IA,43.1535728,-93.20103669999999
MAXWELL,IA,41.8919322,-93.39965459999999
MECHANICSVILLE,IA,41.90279090000001,-91.2546067
MEDIAPOLIS,IA,41.0080904,-91.1640369
MELBOURNE,IA,41.9413772,-93.10325689999999
MELCHER-DALLAS,IA,41.2249966,-93.2413191
MERRILL,IA,42.7197133,-96.2486357
MILFORD,IA,43.3246863,-95.149996
MINDEN,IA,41.4669362,-95.54278219999999
MISSOURI VALLEY,IA,41.5563713,-95.8877767
MONONA,IA,43.0516494,-91.38930409999999
MONROE,IA,41.5208256,-93.1038129
MONTEZUMA,IA,41.585834,-92.5274091
MONTICELLO,IA,42.23833510000001,-91.18709369999999
MONTROSE,IA,40.5322644,-91.41487599999999
MORAVIA,IA,40.8916777,-92.81908519999999
MOUNT AYR,IA,40.7147147,-94.235232
MOUNT PLEASANT,IA,40.9716959,-91.54877139999999
MOUNT VERNON,IA,41.9219522,-91.4168371
MURRAY,IA,41.0417646,-93.9493246
MUSCATINE,IA,41.424473,-91.0432051
NASHUA,IA,42.9522221,-92.5386382
NEOLA,IA,41.4488816,-95.6155615
NEVADA,IA,42.0227184,-93.4523014
NEW HAMPTON,IA,43.0592724,-92.317864
NEW SHARON,IA,41.46666829999999,-92.64741289999999
NEWTON,IA,41.7033177,-93.05735330000002
NEW VIRGINIA,IA,41.1822168,-93.7288305
NORA SPRINGS,IA,43.1427466,-93.0043668
NORTH ENGLISH,IA,41.5138978,-92.0762891
NORTH LIBERTY,IA,41.739482,-91.60809739999999
NORTHWOOD,IA,43.4441245,-93.22103709999999
NORWALK,IA,41.47554600000001,-93.6788304
OAKLAND,IA,41.3094375,-95.3957997
OELWEIN,IA,42.6784949,-91.91195859999999
OGDEN,IA,42.0395595,-94.0320167
OKOBOJI,IA,43.3863521,-95.1483293
ONAWA,IA,42.0266548,-96.0972376
ORANGE CITY,IA,43.0072087,-96.0583523
OSAGE,IA,43.2841382,-92.8190838
OSCEOLA,IA,41.0342618,-93.766759
OSKALOOSA,IA,41.2916728,-92.6493595
OSSIAN,IA,43.145809,-91.7632108
OTHO,IA,42.4246934,-94.1502372
OTTUMWA,IA,41.01602930000001,-92.40830220000001
PACIFIC JUNCTION,IA,41.0187126,-95.8010851
PALO,IA,42.0660485,-91.79611179999999
PANORA,IA,41.6916535,-94.3630215
PARKERSBURG,IA,42.5774797,-92.78686340000002
PAULLINA,IA,42.9791479,-95.6880657
PELLA,IA,41.4080327,-92.91640500000001
PEOSTA,IA,42.4491375,-90.8504116
PERRY,IA,41.8385964,-94.10717969999999
PLEASANT HILL,IA,41.5873903,-93.5196138
PLEASANTVILLE,IA,41.3869578,-93.2682683
POCAHONTAS,IA,42.7355299,-94.66914670000001
POLK CITY,IA,41.7713764,-93.7129997
POMEROY,IA,42.5510885,-94.68386869999999
POSTVILLE,IA,43.084702,-91.5682015
PRAIRIE CITY,IA,41.599434,-93.23520529999999
PRESTON,IA,42.0502844,-90.3960275
PRIMGHAR,IA,43.0869215,-95.62723199999999
PRINCETON,IA,41.6748689,-90.34090959999999
RAYMOND,IA,42.468826,-92.22004849999999
RED OAK,IA,41.0170937,-95.2214477
REINBECK,IA,42.323597,-92.5993615
REMSEN,IA,42.8125933,-95.97335029999999
RICEVILLE,IA,43.3638571,-92.5540687
RIVERSIDE,IA,41.4797413,-91.5812759
ROBINS,IA,42.0711084,-91.6668444
ROCK RAPIDS,IA,43.4271945,-96.17585980000001
ROCK VALLEY,IA,43.2052594,-96.2950263
ROCKWELL,IA,42.985244,-93.1918688
ROCKWELL CITY,IA,42.3952576,-94.63386709999999
ROLFE,IA,42.8127501,-94.5269204
RUTHVEN,IA,43.1291322,-94.89915309999999
SAC CITY,IA,42.42220330000001,-94.9897109
ST. ANSGAR,IA,43.37848109999999,-92.92038869999999
ST. CHARLES,IA,41.2883257,-93.8093887
ST. LUCAS,IA,43.0665745,-91.9332498
SANBORN,IA,43.1816421,-95.6555674
SCHALLER,IA,42.4997048,-95.2930523
SCHLESWIG,IA,42.1652658,-95.4369432
SCRANTON,IA,42.0224844,-94.5452524
SERGEANT BLUFF,IA,42.40298019999999,-96.3588424
SHEFFIELD,IA,42.8944129,-93.21186879999999
SHELDON,IA,43.1812107,-95.8569539
SHELLSBURG,IA,42.0945385,-91.8693231
SHENANDOAH,IA,40.7667389,-95.3761506
SIBLEY,IA,43.3999861,-95.7516395
SIGOURNEY,IA,41.3333445,-92.20462549999999
SIOUX CENTER,IA,43.0797991,-96.1756935
SIOUX CITY,IA,42.4999942,-96.40030689999999
SIOUX RAPIDS,IA,42.8933093,-95.1511051
SLATER,IA,41.8778194,-93.6821269
SLOAN,IA,42.2337584,-96.2244905
SOLON,IA,41.8072344,-91.4940604
SPENCER,IA,43.1450748,-95.144318
SPIRIT LAKE,IA,43.4226192,-95.1022313
SPRINGVILLE,IA,42.0594453,-91.44267029999999
STANWOOD,IA,41.8930715,-91.1507132
STATE CENTER,IA,42.0166544,-93.16353649999999
STORM LAKE,IA,42.6430359,-95.2019399
STORY CITY,IA,42.1871601,-93.5955532
STRATFORD,IA,42.27136549999999,-93.92717209999999
STRAWBERRY POINT,IA,42.6835955,-91.5340348
STUART,IA,41.5034243,-94.3183715
SULLY,IA,41.5783288,-92.8449164
SUMNER,IA,42.8474801,-92.09156329999999
SUTHERLAND,IA,42.9741434,-95.4975058
SWEA CITY,IA,43.384403,-94.3149681
SWISHER,IA,41.8458406,-91.69323200000001
TIFFIN,IA,41.7069149,-91.6632783
TIPTON,IA,41.7697434,-91.1279349
TOLEDO,IA,41.9972134,-92.5835266
TRAER,IA,42.1936007,-92.4654688
TREYNOR,IA,41.2324965,-95.6130608
TRIPOLI,IA,42.8080363,-92.2582341
URBANA,IA,42.2241596,-91.8743444
URBANDALE,IA,41.6266555,-93.71216559999999
VAN METER,IA,41.53332229999999,-93.9543949
VICTOR,IA,41.7316675,-92.2979615
VILLISCA,IA,40.9296034,-94.9766416
VINTON,IA,42.1646477,-92.01856509999999
WALFORD,IA,41.8783375,-91.8346236
WALKER,IA,42.2866572,-91.7807299
WALL LAKE,IA,42.2710952,-95.093047
WALNUT,IA,41.47748989999999,-95.2219405
WAPELLO,IA,41.18141929999999,-91.1854273
WASHBURN,IA,42.4116556,-92.2674061
WASHINGTON,IA,41.30140770000001,-91.69164169999999
WATERLOO,IA,42.492786,-92.34257749999999
WAUKEE,IA,41.6119903,-93.8855768
WAUKON,IA,43.2694208,-91.47569500000002
WAVERLY,IA,42.7272032,-92.4668511
WEBSTER CITY,IA,42.4694321,-93.8159149
WELLMAN,IA,41.4641806,-91.8382273
WELLSBURG,IA,42.4328011,-92.9250864
WESLEY,IA,43.08861479999999,-93.9931467
WEST BEND,IA,42.9600447,-94.4450576
WEST BRANCH,IA,41.6714086,-91.3465521
WEST BURLINGTON,IA,40.8250386,-91.15653569999999
WEST DES MOINES,IA,41.5772115,-93.711332
WEST LIBERTY,IA,41.5700231,-91.2637695
WEST POINT,IA,40.71670390000001,-91.4501542
WEST UNION,IA,42.9627564,-91.8082167
WHEATLAND,IA,41.83169059999999,-90.8382014
WHITTEMORE,IA,43.06348089999999,-94.4221252
WILLIAMSBURG,IA,41.6611187,-92.0090673
WILTON,IA,41.5889154,-91.01681789999999
WINDSOR HEIGHTS,IA,41.6038268,-93.71051179999999
WINTERSET,IA,41.3308237,-94.0138393
WINTHROP,IA,42.4733189,-91.7343327
WOODBINE,IA,41.73400729999999,-95.7074104
WOODWARD,IA,41.857276,-93.9222218
ZWINGLE,IA,42.2977891,-90.6876307
