STATEFP,PLACEFP,PLACENAME,city,population
19,190,Ackley city,ACKLEY,1560
19,370,Adair city,ADAIR,728
19,505,Adel city,ADEL,4245
19,595,Afton city,AFTON,829
19,775,Akron city,AKRON,1450
19,910,Albia city,ALBIA,3829
19,1045,Alden city,ALDEN,764
19,1135,Algona city,ALGONA,5470
19,1315,Allison city,ALLISON,1029
19,1495,Alta city,ALTA,1936
19,1540,Alta Vista city,ALTA VISTA,261
19,1585,Alton city,ALTON,1264
19,1630,Altoona city,ALTOONA,16984
19,1675,Alvord city,ALVORD,193
19,1855,Ames city,AMES,65060
19,1990,Anamosa city,ANAMOSA,5469
19,2260,Anita city,ANITA,956
19,2305,Ankeny city,ANKENY,56764
19,2350,Anthon city,ANTHON,569
19,2845,Arlington city,ARLINGTON,410
19,2935,Armstrong city,ARMSTRONG,889
19,3025,Arnolds Park city,ARNOLDS PARK,1234
19,3520,Atlantic city,ATLANTIC,6833
19,3655,Audubon city,AUDUBON,2017
19,3745,Aurelia city,AURELIA,992
19,3970,Avoca city,AVOCA,1504
19,4330,Baldwin city,BALDWIN,106
19,4420,Bancroft city,BANCROFT,710
19,4915,Baxter city,BAXTER,1103
19,5365,Bedford city,BEDFORD,1415
19,5590,Belle Plaine city,BELLE PLAINE,2475
19,5635,Bellevue city,BELLEVUE,2176
19,5680,Belmond city,BELMOND,2314
19,6355,Bettendorf city,BETTENDORF,35505
19,6490,Bevington city,BEVINGTON,62
19,7030,Bloomfield city,BLOOMFIELD,2617
19,7075,Blue Grass city,BLUE GRASS,1676
19,7390,Bondurant city,BONDURANT,4996
19,7480,Boone city,BOONE,12692
19,8605,Britt city,BRITT,1973
19,8695,Brooklyn city,BROOKLYN,1420
19,9235,Buffalo city,BUFFALO,1299
19,9280,Buffalo Center city,BUFFALO CENTER,895
19,9550,Burlington city,BURLINGTON,25410
19,9730,Bussey city,BUSSEY,410
19,10135,Camanche city,CAMANCHE,4341
19,10225,Cambridge city,CAMBRIDGE,821
19,10765,Carlisle city,CARLISLE,4168
19,11080,Carroll city,CARROLL,9968
19,11215,Carter Lake city,CARTER LAKE,3791
19,11305,Cascade city,CASCADE,2271
19,11395,Casey city,CASEY,402
19,11755,Cedar Falls city,CEDAR FALLS,41255
19,12000,Cedar Rapids city,CEDAR RAPIDS,130405
19,12270,Center Point city,CENTER POINT,2521
19,12315,Centerville city,CENTERVILLE,5372
19,12495,Central City city,CENTRAL CITY,1269
19,12720,Chariton city,CHARITON,4214
19,12765,Charles City city,CHARLES CITY,7455
19,13080,Cherokee city,CHEROKEE,5030
19,13125,Chester city,CHESTER,125
19,13575,Clarinda city,CLARINDA,5418
19,13620,Clarion city,CLARION,2767
19,13755,Clarksville city,CLARKSVILLE,1409
19,14025,Clear Lake city,CLEAR LAKE,7590
19,14430,Clinton city,CLINTON,26064
19,14520,Clive city,CLIVE,17419
19,15015,Colesburg city,COLESBURG,397
19,15060,Colfax city,COLFAX,2051
19,15240,Colo city,COLO,861
19,15420,Columbus Junction city,COLUMBUS JUNCTION,1860
19,15825,Conrad city,CONRAD,1100
19,16050,Coon Rapids city,COON RAPIDS,1269
19,16230,Coralville city,CORALVILLE,20608
19,16500,Corning city,CORNING,1537
19,16590,Corwith city,CORWITH,269
19,16635,Corydon city,CORYDON,1589
19,16860,Council Bluffs city,COUNCIL BLUFFS,62597
19,17175,Crescent city,CRESCENT,630
19,17220,Cresco city,CRESCO,3833
19,17265,Creston city,CRESTON,7854
19,17850,Cumming city,CUMMING,397
19,18075,Dakota City city,DAKOTA CITY,813
19,18435,Danville city,DANVILLE,936
19,19000,Davenport city,DAVENPORT,102582
19,19180,Dayton city,DAYTON,798
19,19405,Decorah city,DECORAH,7907
19,19630,Delaware city,DELAWARE,156
19,19675,Delhi city,DELHI,471
19,19720,Delmar city,DELMAR,502
19,19945,Denison city,DENISON,8334
19,20035,Denver city,DENVER,1835
19,21000,Des Moines city,DES MOINES,210330
19,21045,De Soto city,DE SOTO,1089
19,21180,De Witt city,DE WITT,5242
19,21810,Donnellson city,DONNELLSON,901
19,22305,Dows city,DOWS,514
19,22395,Dubuque city,DUBUQUE,58799
19,22620,Dumont city,DUMONT,627
19,22890,Dunlap city,DUNLAP,977
19,22980,Durant city,DURANT,1816
19,23115,Dyersville city,DYERSVILLE,4204
19,23160,Dysart city,DYSART,1354
19,23250,Eagle Grove city,EAGLE GROVE,3419
19,23340,Earlham city,EARLHAM,1405
19,23475,Early city,EARLY,532
19,23970,Eddyville city,EDDYVILLE,1012
19,24060,Edgewood city,EDGEWOOD,867
19,24420,Eldon city,ELDON,915
19,24465,Eldora city,ELDORA,2702
19,24600,Eldridge city,ELDRIDGE,6232
19,24690,Elkader city,ELKADER,1213
19,25050,Ellsworth city,ELLSWORTH,509
19,25095,Elma city,ELMA,539
19,25365,Ely city,ELY,2074
19,25590,Emmetsburg city,EMMETSBURG,3811
19,25860,Estherville city,ESTHERVILLE,6011
19,25995,Evansdale city,EVANSDALE,4812
19,26175,Everly city,EVERLY,581
19,26265,Exira city,EXIRA,788
19,26355,Fairbank city,FAIRBANK,1117
19,26400,Fairfax city,FAIRFAX,2497
19,26445,Fairfield city,FAIRFIELD,9892
19,26760,Farley city,FARLEY,1691
19,26895,Farmington city,FARMINGTON,649
19,27165,Fayette city,FAYETTE,1491
19,28020,Floyd city,FLOYD,328
19,28245,Fonda city,FONDA,607
19,28290,Fontanelle city,FONTANELLE,636
19,28380,Forest City city,FOREST CITY,4018
19,28425,Fort Atkinson city,FORT ATKINSON,336
19,28515,Fort Dodge city,FORT DODGE,24649
19,28605,Fort Madison city,FORT MADISON,10717
19,28965,Fredericksburg city,FREDERICKSBURG,922
19,29910,Garnavillo city,GARNAVILLO,726
19,29955,Garner city,GARNER,3107
19,30225,George city,GEORGE,1055
19,30675,Gilbertville city,GILBERTVILLE,747
19,30945,Gilmore City city,GILMORE CITY,491
19,31035,Gladbrook city,GLADBROOK,890
19,31350,Glenwood city,GLENWOOD,5253
19,31395,Glidden city,GLIDDEN,1127
19,31530,Goldfield city,GOLDFIELD,608
19,31710,Gowrie city,GOWRIE,999
19,31800,Graettinger city,GRAETTINGER,811
19,31980,Grand Junction city,GRAND JUNCTION,789
19,32025,Grand Mound city,GRAND MOUND,617
19,32160,Granger city,GRANGER,1431
19,32745,Greene city,GREENE,1120
19,32790,Greenfield city,GREENFIELD,1883
19,33060,Grimes city,GRIMES,10676
19,33105,Grinnell city,GRINNELL,9141
19,33150,Griswold city,GRISWOLD,984
19,33195,Grundy Center city,GRUNDY CENTER,2714
19,33420,Guthrie Center city,GUTHRIE CENTER,1513
19,33465,Guttenberg city,GUTTENBERG,1861
19,33780,Hamburg city,HAMBURG,1082
19,33960,Hampton city,HAMPTON,4290
19,34500,Harlan city,HARLAN,5002
19,34590,Harpers Ferry city,HARPERS FERRY,319
19,34725,Hartley city,HARTLEY,1616
19,35265,Hawarden city,HAWARDEN,2551
19,35580,Hazleton city,HAZLETON,818
19,35940,Hiawatha city,HIAWATHA,7199
19,36840,Holstein city,HOLSTEIN,1391
19,36885,Holy Cross city,HOLY CROSS,381
19,37290,Hospers city,HOSPERS,714
19,37425,Hubbard city,HUBBARD,834
19,37470,Hudson city,HUDSON,2381
19,37560,Humboldt city,HUMBOLDT,4596
19,37605,Humeston city,HUMESTON,491
19,37920,Huxley city,HUXLEY,3536
19,38010,Ida Grove city,IDA GROVE,2122
19,38100,Independence city,INDEPENDENCE,6028
19,38280,Indianola city,INDIANOLA,15467
19,38415,Inwood city,INWOOD,811
19,38595,Iowa City city,IOWA CITY,74220
19,38640,Iowa Falls city,IOWA FALLS,5195
19,38820,Ireton city,IRETON,602
19,39450,Jefferson city,JEFFERSON,4204
19,39585,Jesup city,JESUP,2671
19,39675,Jewell Junction city,JEWELL JUNCTION,1187
19,39765,Johnston city,JOHNSTON,20871
19,40440,Kellogg city,KELLOGG,592
19,40845,Keokuk city,KEOKUK,10609
19,40935,Keosauqua city,KEOSAUQUA,947
19,40980,Keota city,KEOTA,970
19,41385,Kingsley city,KINGSLEY,1396
19,42015,Knoxville city,KNOXVILLE,7248
19,42465,Lake City city,LAKE CITY,1670
19,42555,Lake Mills city,LAKE MILLS,2060
19,42600,Lake Park city,LAKE PARK,1137
19,42690,Lake View city,LAKE VIEW,1125
19,42960,Lamoni city,LAMONI,2376
19,43275,Lansing city,LANSING,939
19,43365,La Porte City city,LA PORTE CITY,2290
19,43410,Larchwood city,LARCHWOOD,886
19,43590,Latimer city,LATIMER,483
19,43725,Laurens city,LAURENS,1180
19,43815,Lawler city,LAWLER,423
19,44085,Le Claire city,LE CLAIRE,3982
19,44220,Le Grand city,LE GRAND,946
19,44400,Le Mars city,LE MARS,9761
19,44490,Lenox city,LENOX,1385
19,44535,Leon city,LEON,1903
19,45615,Lisbon city,LISBON,2202
19,46155,Logan city,LOGAN,1465
19,46245,Lohrville city,LOHRVILLE,350
19,46605,Lost Nation city,LOST NATION,424
19,46830,Lovilia city,LOVILIA,519
19,48000,McGregor city,MCGREGOR,839
19,48450,Madrid city,MADRID,2588
19,48720,Malvern city,MALVERN,1117
19,48810,Manchester city,MANCHESTER,5073
19,48900,Manly city,MANLY,1310
19,48945,Manning city,MANNING,1472
19,48990,Manson city,MANSON,1615
19,49170,Mapleton city,MAPLETON,1214
19,49215,Maquoketa city,MAQUOKETA,5989
19,49350,Marcus city,MARCUS,1070
19,49395,Marengo city,MARENGO,2513
19,49485,Marion city,MARION,37330
19,49755,Marshalltown city,MARSHALLTOWN,27620
19,49890,Martensdale city,MARTENSDALE,472
19,50160,Mason City city,MASON CITY,27366
19,50520,Maxwell city,MAXWELL,923
19,50700,Mechanicsville city,MECHANICSVILLE,1108
19,50790,Mediapolis city,MEDIAPOLIS,1574
19,50880,Melbourne city,MELBOURNE,827
19,50935,Melcher-Dallas city,MELCHER-DALLAS,1259
19,51375,Merrill city,MERRILL,733
19,52095,Milford city,MILFORD,3018
19,52590,Minden city,MINDEN,594
19,52860,Missouri Valley city,MISSOURI VALLEY,2695
19,53310,Monona city,MONONA,1500
19,53355,Monroe city,MONROE,1831
19,53490,Montezuma city,MONTEZUMA,1411
19,53625,Monticello city,MONTICELLO,3825
19,53760,Montrose city,MONTROSE,885
19,53985,Moravia city,MORAVIA,643
19,54480,Mount Ayr city,MOUNT AYR,1686
19,54705,Mount Pleasant city,MOUNT PLEASANT,8433
19,54840,Mount Vernon city,MOUNT VERNON,4486
19,55065,Murray city,MURRAY,735
19,55110,Muscatine city,MUSCATINE,23968
19,55335,Nashua city,NASHUA,1621
19,55560,Neola city,NEOLA,862
19,55695,Nevada city,NEVADA,6831
19,56100,New Hampton city,NEW HAMPTON,3452
19,56460,New Sharon city,NEW SHARON,1291
19,56505,Newton city,NEWTON,15125
19,56595,New Virginia city,NEW VIRGINIA,485
19,56910,Nora Springs city,NORA SPRINGS,1389
19,57225,North English city,NORTH ENGLISH,1022
19,57360,North Liberty city,NORTH LIBERTY,15931
19,57630,Northwood city,NORTHWOOD,1995
19,57675,Norwalk city,NORWALK,10135
19,58080,Oakland city,OAKLAND,1507
19,58620,Oelwein city,OELWEIN,6153
19,58665,Ogden city,OGDEN,2041
19,58710,Okoboji city,OKOBOJI,818
19,59115,Onawa city,ONAWA,2881
19,59475,Orange City city,ORANGE CITY,6198
19,59745,Osage city,OSAGE,3654
19,59835,Osceola city,OSCEOLA,4972
19,59925,Oskaloosa city,OSKALOOSA,11607
19,59970,Ossian city,OSSIAN,819
19,60105,Otho city,OTHO,524
19,60465,Ottumwa city,OTTUMWA,24624
19,60825,Pacific Junction city,PACIFIC JUNCTION,457
19,61230,Palo city,PALO,1053
19,61320,Panora city,PANORA,1085
19,61590,Parkersburg city,PARKERSBURG,1960
19,61905,Paullina city,PAULLINA,1017
19,62040,Pella city,PELLA,10363
19,62130,Peosta city,PEOSTA,1618
19,62355,Perry city,PERRY,8089
19,63525,Pleasant Hill city,PLEASANT HILL,9314
19,63750,Pleasantville city,PLEASANTVILLE,1669
19,63975,Pocahontas city,POCAHONTAS,1740
19,64020,Polk City city,POLK CITY,4323
19,64065,Pomeroy city,POMEROY,625
19,64290,Postville city,POSTVILLE,2131
19,64470,Prairie City city,PRAIRIE CITY,1709
19,64605,Preston city,PRESTON,978
19,64650,Primghar city,PRIMGHAR,879
19,64740,Princeton city,PRINCETON,929
19,65820,Raymond city,RAYMOND,816
19,66135,Red Oak city,RED OAK,5472
19,66315,Reinbeck city,REINBECK,1639
19,66405,Remsen city,REMSEN,1632
19,66585,Riceville city,RICEVILLE,810
19,67440,Riverside city,RIVERSIDE,1045
19,67800,Robins city,ROBINS,3454
19,68160,Rock Rapids city,ROCK RAPIDS,2602
19,68205,Rock Valley city,ROCK VALLEY,3693
19,68250,Rockwell city,ROCKWELL,1019
19,68295,Rockwell City city,ROCKWELL CITY,2141
19,68520,Rolfe city,ROLFE,559
19,69330,Ruthven city,RUTHVEN,704
19,69645,Sac City city,SAC CITY,2144
19,69735,St. Ansgar city,ST. ANSGAR,1156
19,69915,St. Charles city,ST. CHARLES,628
19,70050,St. Lucas city,ST. LUCAS,138
19,70410,Sanborn city,SANBORN,1385
19,71085,Schaller city,SCHALLER,745
19,71130,Schleswig city,SCHLESWIG,881
19,71310,Scranton city,SCRANTON,530
19,71625,Sergeant Bluff city,SERGEANT BLUFF,4520
19,72210,Sheffield city,SHEFFIELD,1140
19,72390,Sheldon city,SHELDON,5088
19,72480,Shellsburg city,SHELLSBURG,951
19,72525,Shenandoah city,SHENANDOAH,5021
19,72975,Sibley city,SIBLEY,2668
19,73110,Sigourney city,SIGOURNEY,2005
19,73290,Sioux Center city,SIOUX CENTER,7461
19,73335,Sioux City city,SIOUX CITY,82821
19,73425,Sioux Rapids city,SIOUX RAPIDS,777
19,73515,Slater city,SLATER,1506
19,73605,Sloan city,SLOAN,979
19,73875,Solon city,SOLON,2545
19,74280,Spencer city,SPENCER,11212
19,74415,Spirit Lake city,SPIRIT LAKE,5018
19,74775,Springville city,SPRINGVILLE,1139
19,75045,Stanwood city,STANWOOD,662
19,75135,State Center city,STATE CENTER,1470
19,75630,Storm Lake city,STORM LAKE,10910
19,75675,Story City city,STORY CITY,3438
19,75810,Stratford city,STRATFORD,725
19,75855,Strawberry Point city,STRAWBERRY POINT,1236
19,75990,Stuart city,STUART,1602
19,76035,Sully city,SULLY,822
19,76260,Sumner city,SUMNER,2009
19,76485,Sutherland city,SUTHERLAND,618
19,76755,Swea City city,SWEA CITY,521
19,76890,Swisher city,SWISHER,943
19,78060,Tiffin city,TIFFIN,2657
19,78285,Tipton city,TIPTON,3200
19,78510,Toledo city,TOLEDO,2202
19,78735,Traer city,TRAER,1655
19,78825,Treynor city,TREYNOR,952
19,78915,Tripoli city,TRIPOLI,1342
19,79905,Urbana city,URBANA,1459
19,79950,Urbandale city,URBANDALE,44062
19,80445,Van Meter city,VAN METER,1142
19,80805,Victor city,VICTOR,888
19,80985,Villisca city,VILLISCA,1194
19,81210,Vinton city,VINTON,5148
19,81840,Walford city,WALFORD,1459
19,81885,Walker city,WALKER,792
19,82020,Wall Lake city,WALL LAKE,795
19,82065,Walnut city,WALNUT,776
19,82200,Wapello city,WAPELLO,2041
19,82290,Washburn CDP,WASHBURN,-1
19,82335,Washington city,WASHINGTON,7408
19,82425,Waterloo city,WATERLOO,68460
19,82695,Waukee city,WAUKEE,18990
19,82740,Waukon city,WAUKON,3736
19,82875,Waverly city,WAVERLY,10066
19,83145,Webster City city,WEBSTER CITY,7814
19,83280,Wellman city,WELLMAN,1431
19,83325,Wellsburg city,WELLSBURG,699
19,83415,Wesley city,WESLEY,381
19,83550,West Bend city,WEST BEND,759
19,83595,West Branch city,WEST BRANCH,2337
19,83685,West Burlington city,WEST BURLINGTON,3047
19,83910,West Des Moines city,WEST DES MOINES,64113
19,84315,West Liberty city,WEST LIBERTY,3728
19,84585,West Point city,WEST POINT,962
19,84765,West Union city,WEST UNION,2409
19,84945,Wheatland city,WHEATLAND,733
19,85260,Whittemore city,WHITTEMORE,492
19,85845,Williamsburg city,WILLIAMSBURG,3195
19,86070,Wilton city,WILTON,2805
19,86250,Windsor Heights city,WINDSOR HEIGHTS,4889
19,86520,Winterset city,WINTERSET,5176
19,86565,Winthrop city,WINTHROP,849
19,86835,Woodbine city,WOODBINE,1422
19,86970,Woodward city,WOODWARD,1503
19,87690,Zwingle city,ZWINGLE,90
